,Month,Trip ID,Plant Code,Depot,City Code,DI No,Lead_SAP,Plant,trip_id,city_code,depot_description,district_description,taluka_descr,city_descr,state_description,Plant_City,Plant_Depot,Plant_District,Plant_Taluka,Plant_CityDescr,latitude,longitude,lat_long_time,sys_creation_date,Orgn_lat,Orgn_lng,Dest_lat,Dest_lng,DtTimeSeq
47,jan23,250119195185367,6924,SAINTHIA,WBR5,6924218234,44.0,6924,250119195185367,WBR5,SAINTHIA,BIRBHUM,MURARAI - II,BHIMPUR,WEST BENGAL,6924WBR5,6924SAINTHIA,6924BIRBHUM,6924MURARAI - II,6924BHIMPUR,24.510204,87.920933,20012023083539,2023-01-21 00:35:21,24.388,88.084,24.44,87.91,2023-01-20 08:35:39
48,jan23,250119195185367,6924,SAINTHIA,WBR5,6924218234,44.0,6924,250119195185367,WBR5,SAINTHIA,BIRBHUM,MURARAI - II,BHIMPUR,WEST BENGAL,6924WBR5,6924SAINTHIA,6924BIRBHUM,6924MURARAI - II,6924BHIMPUR,24.536649,87.960711,20012023072413,2023-01-20 07:28:19,24.388,88.084,24.44,87.91,2023-01-20 07:24:13
49,jan23,250119195185367,6924,SAINTHIA,WBR5,6924218234,44.0,6924,250119195185367,WBR5,SAINTHIA,BIRBHUM,MURARAI - II,BHIMPUR,WEST BENGAL,6924WBR5,6924SAINTHIA,6924BIRBHUM,6924MURARAI - II,6924BHIMPUR,24.387251,88.090436,20012023181117,2023-01-20 18:15:36,24.388,88.084,24.44,87.91,2023-01-20 18:11:17
50,jan23,250119195185367,6924,SAINTHIA,WBR5,6924218234,44.0,6924,250119195185367,WBR5,SAINTHIA,BIRBHUM,MURARAI - II,BHIMPUR,WEST BENGAL,6924WBR5,6924SAINTHIA,6924BIRBHUM,6924MURARAI - II,6924BHIMPUR,24.387318,88.090213,20012023173343,2023-01-20 17:39:02,24.388,88.084,24.44,87.91,2023-01-20 17:33:43
51,jan23,250119195185367,6924,SAINTHIA,WBR5,6924218234,44.0,6924,250119195185367,WBR5,SAINTHIA,BIRBHUM,MURARAI - II,BHIMPUR,WEST BENGAL,6924WBR5,6924SAINTHIA,6924BIRBHUM,6924MURARAI - II,6924BHIMPUR,24.387122,88.083218,20012023205627,2023-01-20 21:02:55,24.388,88.084,24.44,87.91,2023-01-20 20:56:27
52,jan23,250119195185367,6924,SAINTHIA,WBR5,6924218234,44.0,6924,250119195185367,WBR5,SAINTHIA,BIRBHUM,MURARAI - II,BHIMPUR,WEST BENGAL,6924WBR5,6924SAINTHIA,6924BIRBHUM,6924MURARAI - II,6924BHIMPUR,24.386780,88.084311,20012023190012,2023-01-20 19:06:24,24.388,88.084,24.44,87.91,2023-01-20 19:00:12
53,jan23,250119195185367,6924,SAINTHIA,WBR5,6924218234,44.0,6924,250119195185367,WBR5,SAINTHIA,BIRBHUM,MURARAI - II,BHIMPUR,WEST BENGAL,6924WBR5,6924SAINTHIA,6924BIRBHUM,6924MURARAI - II,6924BHIMPUR,24.387427,88.083004,20012023214931,2023-01-20 21:56:46,24.388,88.084,24.44,87.91,2023-01-20 21:49:31
54,jan23,250119195185367,6924,SAINTHIA,WBR5,6924218234,44.0,6924,250119195185367,WBR5,SAINTHIA,BIRBHUM,MURARAI - II,BHIMPUR,WEST BENGAL,6924WBR5,6924SAINTHIA,6924BIRBHUM,6924MURARAI - II,6924BHIMPUR,24.386824,88.084071,20012023195138,2023-01-20 19:58:23,24.388,88.084,24.44,87.91,2023-01-20 19:51:38
55,jan23,250119195185367,6924,SAINTHIA,WBR5,6924218234,44.0,6924,250119195185367,WBR5,SAINTHIA,BIRBHUM,MURARAI - II,BHIMPUR,WEST BENGAL,6924WBR5,6924SAINTHIA,6924BIRBHUM,6924MURARAI - II,6924BHIMPUR,24.386780,88.084311,20012023193012,2023-01-20 19:38:42,24.388,88.084,24.44,87.91,2023-01-20 19:30:12
56,jan23,250119195185367,6924,SAINTHIA,WBR5,6924218234,44.0,6924,250119195185367,WBR5,SAINTHIA,BIRBHUM,MURARAI - II,BHIMPUR,WEST BENGAL,6924WBR5,6924SAINTHIA,6924BIRBHUM,6924MURARAI - II,6924BHIMPUR,24.510222,87.920942,20012023092614,2023-01-20 09:34:42,24.388,88.084,24.44,87.91,2023-01-20 09:26:14
57,jan23,250119195185367,6924,SAINTHIA,WBR5,6924218234,44.0,6924,250119195185367,WBR5,SAINTHIA,BIRBHUM,MURARAI - II,BHIMPUR,WEST BENGAL,6924WBR5,6924SAINTHIA,6924BIRBHUM,6924MURARAI - II,6924BHIMPUR,24.386833,88.090933,20012023013734,2023-01-20 01:44:16,24.388,88.084,24.44,87.91,2023-01-20 01:37:34
58,jan23,250119195185367,6924,SAINTHIA,WBR5,6924218234,44.0,6924,250119195185367,WBR5,SAINTHIA,BIRBHUM,MURARAI - II,BHIMPUR,WEST BENGAL,6924WBR5,6924SAINTHIA,6924BIRBHUM,6924MURARAI - II,6924BHIMPUR,24.386833,88.090933,20012023025234,2023-01-20 02:59:04,24.388,88.084,24.44,87.91,2023-01-20 02:52:34
59,jan23,250119195185367,6924,SAINTHIA,WBR5,6924218234,44.0,6924,250119195185367,WBR5,SAINTHIA,BIRBHUM,MURARAI - II,BHIMPUR,WEST BENGAL,6924WBR5,6924SAINTHIA,6924BIRBHUM,6924MURARAI - II,6924BHIMPUR,24.386698,88.092267,20012023095439,2023-01-21 00:35:23,24.388,88.084,24.44,87.91,2023-01-20 09:54:39
